rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
278,ELV,Elevance Health Inc,394.07,474,20.3,,Narrow,,Healthcare,Healthcare Plans
279,DIS,The Walt Disney Co,103.91,125,20.3,,Wide,,Communication Services,Entertainment
280,COF,Capital One Financial Corp,187.17,225,20.2,,Narrow,,Financial Services,Credit Services
281,CNC,Centene Corp,58.23,70,20.2,,None,,Healthcare,Healthcare Plans
282,HBAN,Huntington Bancshares Inc,15.57,18.7,20.1,,None,,Financial Services,Banks - Regional
283,FCNCA,First Citizens BancShares Inc Class A,1942.36,2330,20.0,,None,,Financial Services,Banks - Regional
284,VLTO,Veralto Corp,86.71,104,19.9,,Wide,,Industrials,Pollution & Treatment Controls
285,KKR,KKR & Co Inc Ordinary Shares,95.97,115,19.8,,Narrow,,Financial Services,Asset Management
286,AMCX,AMC Global Media Inc Class A,8.35,10,19.8,4,None,,Communication Services,Entertainment
287,BX,Blackstone Inc,117.04,140,19.6,,Wide,,Financial Services,Asset Management
288,AVB,AvalonBay Communities Inc,185.25,221,19.3,,None,,Real Estate,REIT - Residential
289,ALSN,Allison Transmission Holdings Inc,114.06,136,19.2,4,Narrow,,Consumer Cyclical,Auto Parts
290,CHH,Choice Hotels International Inc,106.65,127,19.1,,Narrow,,Consumer Cyclical,Lodging
291,ETSY,Etsy Inc,58.83,70,19.0,,Narrow,,Consumer Cyclical,Internet Retail
292,XYZ,Block Inc Class A,70.63,84,18.9,,Narrow,,Technology,Software - Infrastructure
293,AMRZ,Amrize Ltd Registered Share,49.64,59,18.9,3,Narrow,,Basic Materials,Building Materials
294,ET,Energy Transfer LP,20.19,24,18.9,,None,,Energy,Oil & Gas Midstream
295,AVGO,Broadcom Inc,420.71,500,18.8,,Wide,,Technology,Semiconductors
296,HRI,Herc Holdings Inc,133.85,159,18.8,,None,,Industrials,Rental & Leasing Services
297,SIRI,Sirius XM Holdings Inc,26.09,31,18.8,,None,,Communication Services,Entertainment
298,MRSH,Marsh,165.98,197,18.7,,Narrow,,Financial Services,Insurance Brokers
299,NTR,Nutrien Ltd,71.62,85,18.7,,Narrow,,Basic Materials,Agricultural Inputs
300,DG,Dollar General Corp,106.23,126,18.6,,Narrow,,Consumer Defensive,Discount Stores
301,EIX,Edison International,68.44,81,18.4,,Narrow,,Utilities,Utilities - Regulated Electric
302,WFC,Wells Fargo & Co,74.37,88,18.3,,Wide,,Financial Services,Banks - Diversified
303,SWKS,Skyworks Solutions Inc,70.35,83,18.0,,None,,Technology,Semiconductors
304,CG,The Carlyle Group Inc,46.6,55,18.0,,Narrow,,Financial Services,Asset Management
305,NWSA,News Corp Class A,26.27,31,18.0,,None,,Communication Services,Entertainment
306,ORCL,Oracle Corp,186.61,220,17.9,,Narrow,,Technology,Software - Infrastructure
307,USB,U.S. Bancorp,53.45,63,17.9,,Wide,,Financial Services,Banks - Regional
308,LVS,Las Vegas Sands Corp,50.19,59,17.6,,Narrow,,Consumer Cyclical,Resorts & Casinos
309,TV,Grupo Televisa SAB ADR,2.81,3.3,17.4,,None,,Communication Services,Telecom Services
310,MCK,McKesson Corp,775.97,910,17.3,,Narrow,,Healthcare,Medical Distribution
311,SHOP,Shopify Inc Registered Shs -A- Subord Vtg,102.39,120,17.2,,Narrow,,Technology,Software - Application
312,IR,Ingersoll Rand Inc,69.97,82,17.2,,Narrow,,Industrials,Specialty Industrial Machinery
313,RPRX,Royalty Pharma PLC Class A,52.07,61,17.1,,Narrow,,Healthcare,Biotechnology
314,RBLX,Roblox Corp Ordinary Shares - Class A,46.98,55,17.1,,Narrow,,Communication Services,Electronic Gaming & Multimedia
315,MSI,Motorola Solutions Inc,410.27,480,17.0,,Wide,,Technology,Communication Equipment
316,NVDA,NVIDIA Corp,222.32,260,16.9,,Wide,,Technology,Semiconductors
317,IBM,International Business Machines Corp,222.75,260,16.7,,Narrow,,Technology,Information Technology Services
318,NET,Cloudflare Inc,201.75,235,16.5,,Wide,,Technology,Software - Infrastructure
319,NOC,Northrop Grumman Corp,550,640,16.4,,Wide,,Industrials,Aerospace & Defense
320,WDAY,Workday Inc Class A,128.88,150,16.4,,Narrow,,Technology,Software - Application
321,POR,Portland General Electric Co,48.29,56,16.0,,Narrow,,Utilities,Utilities - Regulated Electric
322,REGN,Regeneron Pharmaceuticals Inc,629.68,730,15.9,,Narrow,,Healthcare,Biotechnology
323,TOL,Toll Brothers Inc,126.97,147,15.8,,None,,Consumer Cyclical,Residential Construction
324,PPG,PPG Industries Inc,103.66,120,15.8,,Narrow,,Basic Materials,Specialty Chemicals
325,FRT,Federal Realty Investment Trust,114.93,133,15.7,,None,,Real Estate,REIT - Retail
326,EDU,New Oriental Education & Technology Group Inc ADR,51.09,59,15.5,,None,,Consumer Defensive,Education & Training Services
327,SYF,Synchrony Financial,71.05,82,15.4,,None,,Financial Services,Credit Services
328,GSK,GSK PLC ADR,50.26,58,15.4,,Wide,,Healthcare,Drug Manufacturers - General
329,IFF,International Flavors & Fragrances Inc,73.7,85,15.3,,Narrow,,Basic Materials,Specialty Chemicals
330,RJF,Raymond James Financial Inc,154.46,178,15.2,,Narrow,,Financial Services,Asset Management
331,STZ,Constellation Brands Inc Class A,147.58,170,15.2,,Wide,,Consumer Defensive,Beverages - Brewers
332,HII,Huntington Ingalls Industries Inc,329.35,379,15.1,,Wide,,Industrials,Aerospace & Defense
333,NGG,National Grid PLC ADR,83.84,96.5,15.1,,Narrow,,Utilities,Utilities - Regulated Electric
334,KIM,Kimco Realty Corp,23.47,27,15.0,,None,,Real Estate,REIT - Retail
335,OKTA,Okta Inc Class A,87.04,100,14.9,,None,,Technology,Software - Infrastructure
336,RTO,Rentokil Initial PLC ADR,32.21,37,14.9,,Narrow,,Industrials,Specialty Business Services
337,TFC,Truist Financial Corp,47.05,54,14.8,,None,,Financial Services,Banks - Regional
338,KT,KT Corp ADR,19.16,22,14.8,3,None,,Communication Services,Telecom Services
339,BLCO,Bausch & Lomb Corp,16.11,18.5,14.8,,Narrow,,Healthcare,Medical Instruments & Supplies
340,LOW,Lowe's Companies Inc,218.02,250,14.7,,Wide,,Consumer Cyclical,Home Improvement Retail
341,HPQ,HP Inc,20.92,24,14.7,,None,,Technology,Computer Hardware
342,WSO,Watsco Inc Ordinary Shares,391.69,449,14.6,,Narrow,,Industrials,Industrial Distribution
343,LH,Labcorp Holdings Inc,255.57,293,14.6,,Narrow,,Healthcare,Diagnostics & Research
344,STE,Steris PLC,212.87,244,14.6,,Narrow,,Healthcare,Medical Devices
345,BIIB,Biogen Inc,191.91,220,14.6,,Narrow,,Healthcare,Drug Manufacturers - General
346,ABEV,Ambev SA ADR,3.14,3.6,14.6,4,Wide,,Consumer Defensive,Beverages - Brewers
347,XYL,Xylem Inc,108.3,124,14.5,,Narrow,,Industrials,Specialty Industrial Machinery
348,ALLY,Ally Financial Inc,42.11,48.2,14.5,3,None,,Financial Services,Credit Services
349,SYY,Sysco Corp,73.52,84,14.3,,Wide,,Consumer Defensive,Food Distribution
350,UPS,United Parcel Service Inc Class B,95.53,109,14.1,,Wide,,Industrials,Integrated Freight & Logistics
351,EXPE,Expedia Group Inc,214.99,245,14.0,,Narrow,,Consumer Cyclical,Travel Services
352,ALB,Albemarle Corp,175.74,200,13.8,3,Narrow,,Basic Materials,Specialty Chemicals
353,HSY,The Hershey Co,191.73,218,13.7,,Wide,,Consumer Defensive,Confectioners
354,RTX,RTX Corp,175.95,200,13.7,,Wide,,Industrials,Aerospace & Defense
355,AMAT,Applied Materials Inc,413.57,470,13.6,,Wide,,Technology,Semiconductor Equipment & Materials
356,MPLX,MPLX LP Partnership Units,55.44,63,13.6,,Narrow,,Energy,Oil & Gas Midstream
357,FIVN,Five9 Inc,21.13,24,13.6,,None,,Technology,Software - Infrastructure
358,SF,Stifel Financial Corp,74.04,84,13.5,,Narrow,,Financial Services,Capital Markets
359,GM,General Motors Co,73.1,83,13.5,,None,,Consumer Cyclical,Auto Manufacturers
360,FITB,Fifth Third Bancorp,47.94,54.4,13.5,,Narrow,,Financial Services,Banks - Regional
361,PEP,PepsiCo Inc,149.06,169,13.4,,Wide,,Consumer Defensive,Beverages - Non-Alcoholic
362,EXR,Extra Space Storage Inc,139.27,158,13.4,,None,,Real Estate,REIT - Industrial
363,TDG,TransDigm Group Inc,1182.35,1340,13.3,,Wide,,Industrials,Aerospace & Defense
364,VZ,Verizon Communications Inc,46.76,53,13.3,,Narrow,,Communication Services,Telecom Services
365,PLTR,Palantir Technologies Inc Ordinary Shares - Class A,135.14,153,13.2,,Narrow,,Technology,Software - Infrastructure
366,UBER,Uber Technologies Inc,75.08,85,13.2,,Narrow,,Technology,Software - Application
367,CARR,Carrier Global Corp Ordinary Shares,64.51,73,13.2,,Narrow,,Industrials,Building Products & Equipment
368,ESS,Essex Property Trust Inc,272.24,308,13.1,,None,,Real Estate,REIT - Residential
369,ADSK,Autodesk Inc,243.49,275,12.9,,Wide,,Technology,Software - Application
370,BALL,Ball Corp,55.8,63,12.9,,Narrow,,Consumer Cyclical,Packaging & Containers
371,MCO,Moodys Corp,443.41,500,12.8,,Wide,,Financial Services,Financial Data & Stock Exchanges
372,WMG,Warner Music Group Corp Ordinary Shares - Class A,34.56,39,12.8,,Narrow,,Communication Services,Entertainment
373,AMP,Ameriprise Financial Inc,471.18,530,12.5,3,Narrow,,Financial Services,Asset Management
374,SPOT,Spotify Technology SA,445.01,500,12.4,,Narrow,,Communication Services,Internet Content & Information
375,LII,Lennox International Inc,501.41,563,12.3,,Narrow,,Industrials,Building Products & Equipment
376,FERG,Ferguson Enterprises Inc,219.95,247,12.3,,Narrow,,Industrials,Industrial Distribution
377,WPP,WPP PLC ADR,18.52,20.79,12.3,,None,,Communication Services,Advertising Agencies
378,LYFT,Lyft Inc Class A,13.37,15,12.2,,None,,Technology,Software - Application
379,KDP,Keurig Dr Pepper Inc,29.43,33,12.1,,Narrow,,Consumer Defensive,Beverages - Non-Alcoholic
380,INFY,Infosys Ltd ADR,12.59,14.1,12.0,,Narrow,,Technology,Information Technology Services
381,PNC,PNC Financial Services Group Inc,213.72,239,11.8,,Narrow,,Financial Services,Banks - Regional
382,CF,CF Industries Holdings Inc,125.22,140,11.8,,Narrow,,Basic Materials,Agricultural Inputs
383,HD,The Home Depot Inc,299.81,335,11.7,,Wide,,Consumer Cyclical,Home Improvement Retail
384,MTD,Mettler-Toledo International Inc,1074.84,1200,11.6,,Narrow,,Healthcare,Diagnostics & Research
385,FER,Ferrovial NV,67.19,75,11.6,,Wide,,Industrials,Engineering & Construction
386,ICE,Intercontinental Exchange Inc,155.99,174,11.5,,Wide,,Financial Services,Financial Data & Stock Exchanges
387,LHX,L3Harris Technologies Inc,311.16,346,11.2,,Narrow,,Industrials,Aerospace & Defense
388,REG,Regency Centers Corp,77.33,86,11.2,,None,,Real Estate,REIT - Retail
389,PTC,PTC Inc,144.06,160,11.1,,Wide,,Technology,Software - Application
390,DTE,DTE Energy Co,141.35,157,11.1,,Narrow,,Utilities,Utilities - Regulated Electric
391,MTB,M&T Bank Corp,206.27,229,11.0,,Narrow,,Financial Services,Banks - Regional
392,CTVA,Corteva Inc,81.08,90,11.0,,Wide,,Basic Materials,Agricultural Inputs
393,HOG,Harley-Davidson Inc,24.35,27,10.9,,Narrow,,Consumer Cyclical,Recreational Vehicles
394,DVN,Devon Energy Corp,49.68,55,10.7,,Narrow,,Energy,Oil & Gas E&P
395,RNG,RingCentral Inc Class A,40.68,45,10.6,,None,,Technology,Software - Application
396,GD,General Dynamics Corp,343.11,379,10.5,,Wide,,Industrials,Aerospace & Defense
397,T,AT&T Inc,24.43,27,10.5,,Narrow,,Communication Services,Telecom Services
398,AEP,American Electric Power Co Inc,127.68,141,10.4,4,Narrow,,Utilities,Utilities - Regulated Electric
399,PINS,Pinterest Inc Class A,19.93,22,10.4,,Narrow,,Communication Services,Internet Content & Information
400,C,Citigroup Inc,122.41,135,10.3,,None,,Financial Services,Banks - Diversified
401,GGG,Graco Inc,76.17,84,10.3,,Wide,,Industrials,Specialty Industrial Machinery
402,FOX,Fox Corp Class B,58.99,65,10.2,,None,,Communication Services,Entertainment
403,GOOG,Alphabet Inc Class C,393.11,433,10.1,3,Wide,,Communication Services,Internet Content & Information
404,PCAR,PACCAR Inc,111.68,123,10.1,,Narrow,,Industrials,Farm & Heavy Construction Machinery
405,PUK,Prudential PLC ADR,30.87,34,10.1,,None,,Financial Services,Insurance - Life
406,BC,Brunswick Corp,76.47,84,9.8,,Narrow,,Consumer Cyclical,Recreational Vehicles
407,ZION,Zions Bancorp NA,60.09,66,9.8,,None,,Financial Services,Banks - Regional
408,AEG,Aegon Ltd ADR,8.56,9.4,9.8,3,None,,Financial Services,Insurance - Diversified
409,TEL,TE Connectivity PLC Registered Shares,200.51,220,9.7,,Narrow,,Technology,Electronic Components
410,AR,Antero Resources Corp,38.36,42,9.5,,None,,Energy,Oil & Gas E&P
411,TW,Tradeweb Markets Inc,112.43,123,9.4,,Wide,,Financial Services,Capital Markets
412,CVS,CVS Health Corp,95.99,105,9.4,,None,,Healthcare,Healthcare Plans
413,PII,Polaris Inc,63.98,70,9.4,,Wide,,Consumer Cyclical,Recreational Vehicles
414,TXT,Textron Inc,90.59,99,9.3,,None,,Industrials,Aerospace & Defense
415,UNH,UnitedHealth Group Inc,391.13,427,9.2,,Narrow,,Healthcare,Healthcare Plans
416,KEY,KeyCorp,21.07,23,9.2,,None,,Financial Services,Banks - Regional
417,GOOGL,Alphabet Inc Class A,396.94,433,9.1,3,Wide,,Communication Services,Internet Content & Information
418,DHI,D.R. Horton Inc,137.49,150,9.1,,None,,Consumer Cyclical,Residential Construction
419,ARES,Ares Management Corp Ordinary Shares - Class A,123.7,135,9.1,,Narrow,,Financial Services,Asset Management
420,HLN,Haleon PLC ADR,9.17,10,9.1,,Wide,,Healthcare,Drug Manufacturers - Specialty & Generic
421,SHW,Sherwin-Williams Co,302.78,330,9.0,,Wide,,Basic Materials,Specialty Chemicals
422,DD,DuPont de Nemours Inc,48.64,53,9.0,,Narrow,,Basic Materials,Specialty Chemicals
423,HUM,Humana Inc,306,333,8.8,,Narrow,,Healthcare,Healthcare Plans
424,MA,Mastercard Inc Class A,505.79,550,8.7,,Wide,,Financial Services,Credit Services
425,WING,Wingstop Inc,129,140,8.5,,Narrow,,Consumer Cyclical,Restaurants
426,ALNY,Alnylam Pharmaceuticals Inc,286.27,310,8.3,3,Narrow,,Healthcare,Biotechnology
427,CR,Crane Co,170.77,185,8.3,,Wide,,Industrials,Specialty Industrial Machinery
428,FE,FirstEnergy Corp,44.32,48,8.3,,Narrow,,Utilities,Utilities - Regulated Electric
429,TIMB,TIM SA ADR,22.17,24,8.3,,None,,Communication Services,Telecom Services
430,TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,395.95,428,8.1,,Wide,,Technology,Semiconductors
431,D,Dominion Energy Inc,67.56,73,8.1,,Narrow,,Utilities,Utilities - Regulated Electric
432,BA,Boeing Co,220.61,238,7.9,,Wide,,Industrials,Aerospace & Defense
433,CAH,Cardinal Health Inc,199.77,215,7.6,,Narrow,,Healthcare,Medical Distribution
434,GE,GE Aerospace,285.99,307,7.3,,Wide,,Industrials,Aerospace & Defense
435,SHEL,Shell PLC ADR (Representing - Ordinary Shares),88.59,95,7.2,,None,,Energy,Oil & Gas Integrated
436,ES,Eversource Energy,68.08,73,7.2,,None,,Utilities,Utilities - Regulated Electric
437,AMD,Advanced Micro Devices Inc,420.99,450,6.9,3,Narrow,,Technology,Semiconductors
438,AON,Aon PLC Class A,326.57,349,6.9,,Narrow,,Financial Services,Insurance Brokers
439,LNT,Alliant Energy Corp,72.09,77,6.8,4,Narrow,,Utilities,Utilities - Regulated Electric
440,PSA,Public Storage,296.15,316,6.7,,None,,Real Estate,REIT - Industrial
441,CMG,Chipotle Mexican Grill Inc,33.75,36,6.7,,Wide,,Consumer Cyclical,Restaurants
442,CTAS,Cintas Corp,174.51,186,6.6,,Wide,,Industrials,Specialty Business Services
443,DUK,Duke Energy Corp,122.84,131,6.6,,Narrow,,Utilities,Utilities - Regulated Electric
444,SEIC,SEI Investments Co,92.01,98,6.5,,Narrow,,Financial Services,Asset Management
445,DE,Deere & Co,564.49,600,6.3,,Wide,,Industrials,Farm & Heavy Construction Machinery
446,NXPI,NXP Semiconductors NV,291.68,310,6.3,,Wide,,Technology,Semiconductors
447,MCD,McDonald's Corp,282.47,300,6.2,,Wide,,Consumer Cyclical,Restaurants
448,MSCI,MSCI Inc,584.13,620,6.1,,Wide,,Financial Services,Financial Data & Stock Exchanges
449,SJM,JM Smucker Co,103.64,110,6.1,,None,,Consumer Defensive,Packaged Foods
450,MFG,Mizuho Financial Group Inc ADR,8.39,8.9,6.1,,None,,Financial Services,Banks - Regional
451,GWW,W.W. Grainger Inc,1265.03,1340,5.9,,Wide,,Industrials,Industrial Distribution
452,BLK,BlackRock Inc,1085.88,1150,5.9,,Wide,,Financial Services,Asset Management
453,WEC,WEC Energy Group Inc,109.55,116,5.9,,Narrow,,Utilities,Utilities - Regulated Electric
454,LNG,Cheniere Energy Inc,247.74,262,5.8,,Wide,,Energy,Oil & Gas Midstream
455,AMZN,Amazon.com Inc,264.86,280,5.7,3,Wide,,Consumer Cyclical,Internet Retail
456,IT,Gartner Inc,155.43,164,5.5,,None,,Technology,Information Technology Services
457,AMGN,Amgen Inc,324.39,342,5.4,3,Wide,,Healthcare,Drug Manufacturers - General
458,IEX,IDEX Corp,208.63,220,5.4,,Wide,,Industrials,Specialty Industrial Machinery
459,DT,Dynatrace Inc Ordinary Shares,39.85,42,5.4,,Narrow,,Technology,Software - Application
460,MAC,Macerich Co,21.87,23,5.2,,None,,Real Estate,REIT - Retail
461,WAT,Waters Corp,332.19,349,5.1,,Wide,,Healthcare,Diagnostics & Research
462,HCA,HCA Healthcare Inc,422.79,444,5.0,,Narrow,,Healthcare,Medical Care Facilities
463,CBRE,CBRE Group Inc Class A,130.44,137,5.0,,Narrow,,Real Estate,Real Estate Services
464,BRK/A,Berkshire Hathaway Inc Class A,730000.05,765000,4.8,,Narrow,,Financial Services,Insurance - Diversified
465,BRK/B,Berkshire Hathaway Inc Class B,488.38,510,4.4,,Narrow,,Financial Services,Insurance - Diversified
466,QSR,Restaurant Brands International Inc,75.69,79,4.4,,Narrow,,Consumer Cyclical,Restaurants
467,APD,Air Products and Chemicals Inc,293.31,306,4.3,4,Wide,,Basic Materials,Specialty Chemicals
468,NXST,Nexstar Media Group Inc,196.54,205,4.3,,None,,Communication Services,Broadcasting
469,HSBC,HSBC Holdings PLC ADR,90.13,94,4.3,,Narrow,,Financial Services,Banks - Diversified
470,PEN,Penumbra Inc,326.54,340,4.1,,None,,Healthcare,Medical Devices
471,AB,AllianceBernstein Holding LP,38.41,40,4.1,3,None,,Financial Services,Asset Management
472,PG,Procter & Gamble Co,142.39,148,3.9,,Wide,,Consumer Defensive,Household & Personal Products
473,BCS,Barclays PLC ADR,22.94,23.8,3.7,,None,,Financial Services,Banks - Diversified
474,NIO,NIO Inc ADR,5.88,6.1,3.7,,None,,Consumer Cyclical,Auto Manufacturers
475,ADP,Automatic Data Processing Inc,222.94,231,3.6,,Narrow,,Technology,Software - Application
476,LYG,Lloyds Banking Group PLC ADR,5.17,5.35,3.5,,Narrow,,Financial Services,Banks - Regional
477,JPM,JPMorgan Chase & Co,300.73,311,3.4,,Wide,,Financial Services,Banks - Diversified
478,SNPS,Synopsys Inc,498.43,515,3.3,,Wide,,Technology,Software - Infrastructure
479,AWK,American Water Works Co Inc,124.83,129,3.3,4,Narrow,,Utilities,Utilities - Regulated Water
480,WBD,Warner Bros. Discovery Inc Ordinary Shares - Class A,27.1,28,3.3,,None,,Communication Services,Entertainment
481,HIMS,Hims & Hers Health Inc Ordinary Shares - Class A,22.29,23,3.2,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
482,PENN,PENN Entertainment Inc,16.48,17,3.2,,None,,Consumer Cyclical,Resorts & Casinos
483,AES,The AES Corp,14.53,15,3.2,,None,,Utilities,Utilities - Diversified
484,TXN,Texas Instruments Inc,300.6,310,3.1,,Wide,,Technology,Semiconductors
485,SRE,Sempra,90.23,93,3.1,,Narrow,,Utilities,Utilities - Diversified
486,CNP,CenterPoint Energy Inc,41.72,43,3.1,,Narrow,,Utilities,Utilities - Regulated Electric
487,PPL,PPL Corp,34.93,36,3.1,,Narrow,,Utilities,Utilities - Regulated Electric
488,SUNB,Sunbelt Rentals Holdings Inc,75.77,78,2.9,,Narrow,,Industrials,Rental & Leasing Services
489,RDY,Dr Reddy's Laboratories Ltd ADR,13.6,14,2.9,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
490,BAM,Brookfield Asset Management Ltd Ordinary Shares - Class A,48.62,50,2.8,,Narrow,,Financial Services,Asset Management
491,MGEE,MGE Energy Inc,75,77,2.7,,Narrow,,Utilities,Utilities - Regulated Electric
492,EQT,EQT Corp,57.45,59,2.7,,None,,Energy,Oil & Gas E&P
493,GEN,Gen Digital Inc,24.34,25,2.7,,None,,Technology,Software - Infrastructure
494,TROW,T. Rowe Price Group Inc,102.38,105,2.6,,Narrow,,Financial Services,Asset Management
495,EXE,Expand Energy Corp Ordinary Shares - New,98.45,101,2.6,,None,,Energy,Oil & Gas E&P
496,UAL,United Airlines Holdings Inc,92.55,95,2.6,,None,,Industrials,Airlines
497,NWS,News Corp Class B,30.23,31,2.5,,None,,Communication Services,Entertainment
498,EXC,Exelon Corp,43.97,45,2.3,,Narrow,,Utilities,Utilities - Regulated Electric
499,CRWV,CoreWeave Inc Ordinary Shares - Class A,103.77,106,2.1,,None,,Technology,Software - Infrastructure
500,BUD,Anheuser-Busch InBev SA/NV ADR,81.32,83,2.1,5,Wide,,Consumer Defensive,Beverages - Brewers
501,AIG,American International Group Inc,78.36,80,2.1,3,None,,Financial Services,Insurance - Diversified
502,EA,Electronic Arts Inc,201.05,205,2.0,,Narrow,,Communication Services,Electronic Gaming & Multimedia
503,PRU,Prudential Financial Inc,102.98,105,2.0,,None,,Financial Services,Insurance - Life
504,EW,Edwards Lifesciences Corp,82.39,84,2.0,,Narrow,,Healthcare,Medical Devices
505,WTRG,Essential Utilities Inc,37.24,38,2.0,,Narrow,,Utilities,Utilities - Regulated Water
506,WST,West Pharmaceutical Services Inc,304.41,310,1.8,,Wide,,Healthcare,Medical Instruments & Supplies
507,JLL,Jones Lang LaSalle Inc,288.9,294,1.8,,Narrow,,Real Estate,Real Estate Services
508,HUBB,Hubbell Inc,470.87,479,1.7,,Wide,,Industrials,Electrical Equipment & Parts
509,URI,United Rentals Inc,944.57,960,1.6,,Narrow,,Industrials,Rental & Leasing Services
510,CFR,Cullen/Frost Bankers Inc,137.77,140,1.6,,Narrow,,Financial Services,Banks - Regional
511,CRH,CRH PLC,103.39,105,1.6,,Narrow,,Basic Materials,Building Materials
512,APP,AppLovin Corp Ordinary Shares - Class A,492.38,500,1.5,,Narrow,,Communication Services,Advertising Agencies
513,GTLS,Chart Industries Inc,207.19,210,1.4,,Narrow,,Industrials,Specialty Industrial Machinery
514,EOG,EOG Resources Inc,142.99,145,1.4,,Narrow,,Energy,Oil & Gas E&P
515,HAS,Hasbro Inc,93.72,95,1.4,,Narrow,,Consumer Cyclical,Leisure
516,OKE,ONEOK Inc,93.76,95,1.3,,Narrow,,Energy,Oil & Gas Midstream
517,YUM,Yum Brands Inc,152.31,154,1.1,,Wide,,Consumer Cyclical,Restaurants
518,AMG,Affiliated Managers Group Inc,297.03,300,1.0,2,None,,Financial Services,Asset Management
519,RCL,Royal Caribbean Group,252.59,255,1.0,,Narrow,,Consumer Cyclical,Travel Services
520,GILD,Gilead Sciences Inc,129.67,131,1.0,,Wide,,Healthcare,Drug Manufacturers - General
521,MPWR,Monolithic Power Systems Inc,1486.33,1500,0.9,,Wide,,Technology,Semiconductors
522,SYK,Stryker Corp,313.22,316,0.9,,Wide,,Healthcare,Medical Devices
523,HE,Hawaiian Electric Industries Inc,13.38,13.5,0.9,,None,,Utilities,Utilities - Regulated Electric
524,MKL,Markel Group Inc,1865.59,1880,0.8,,None,,Financial Services,Insurance - Property & Casualty
525,HST,Host Hotels & Resorts Inc,21.87,22,0.6,,None,,Real Estate,REIT - Hotel & Motel
526,PAYX,Paychex Inc,94.49,95,0.5,,Narrow,,Technology,Software - Application
527,JHG,Janus Henderson Group PLC,51.8,52,0.4,,None,,Financial Services,Asset Management
528,CNI,Canadian National Railway Co,112.63,113,0.3,,Wide,,Industrials,Railroads
529,RBA,RB Global Inc,102.84,103,0.2,,Narrow,,Industrials,Specialty Business Services
530,ULTA,Ulta Beauty Inc,479.87,480,0.0,,Narrow,,Consumer Cyclical,Specialty Retail
531,AZN,AstraZeneca PLC,183.92,184,0.0,,Wide,,Healthcare,Drug Manufacturers - General
532,CART,Maplebear Inc,40.99,41,0.0,,None,,Consumer Cyclical,Internet Retail
533,VTRS,Viatris Inc,16.5,16.5,0.0,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
534,BBD,Bank Bradesco SA ADR,3.51,3.5,-0.3,,None,,Financial Services,Banks - Regional
535,COP,ConocoPhillips,124.54,124,-0.4,,Narrow,,Energy,Oil & Gas E&P
536,TENB,Tenable Holdings Inc,23.12,23,-0.5,,None,,Technology,Software - Infrastructure
537,LIN,Linde PLC,510.86,508,-0.6,,Wide,,Basic Materials,Specialty Chemicals
538,BIO,Bio-Rad Laboratories Inc Class A,281.82,280,-0.6,,Wide,,Healthcare,Medical Devices
539,VIV,Telefonica Brasil SA ADR,14.09,14,-0.6,,None,,Communication Services,Telecom Services
540,AXP,American Express Co,312.24,310,-0.7,2,Wide,,Financial Services,Credit Services
541,SPG,Simon Property Group Inc,200.42,199,-0.7,,None,,Real Estate,REIT - Retail
542,FHI,Federated Hermes Inc Class B,54.42,54,-0.8,,None,,Financial Services,Asset Management
543,FLR,Fluor Corp,44.35,44,-0.8,,None,,Industrials,Engineering & Construction
544,TIGO,Millicom International Cellular SA,80.73,80,-0.9,,Narrow,,Communication Services,Telecom Services
545,GEV,GE Vernova Inc,1012.25,1000,-1.2,,Narrow,,Industrials,Specialty Industrial Machinery
546,HEI,Heico Corp,293.57,290,-1.2,,Narrow,,Industrials,Aerospace & Defense
547,NEE,NextEra Energy Inc,89.04,88,-1.2,,Narrow,,Utilities,Utilities - Regulated Electric
548,VG,Venture Global Inc Ordinary Shares - Class A,14.17,14,-1.2,,None,,Energy,Oil & Gas Midstream
549,FOXA,Fox Corp Class A,65.87,65,-1.3,,None,,Communication Services,Entertainment
550,MRK,Merck & Co Inc,112.56,111,-1.4,,Wide,,Healthcare,Drug Manufacturers - General
551,IVZ,Invesco Ltd,27.39,27,-1.4,,None,,Financial Services,Asset Management
552,JEF,Jefferies Financial Group Inc,51.85,51,-1.6,,None,,Financial Services,Capital Markets
553,CWAN,Clearwater Analytics Holdings Inc Class A,24.4,24,-1.6,,Narrow,,Technology,Software - Application
554,WCN,Waste Connections Inc,158.92,156,-1.8,,Wide,,Industrials,Waste Management
555,TGT,Target Corp,123.4,121,-1.9,,None,,Consumer Defensive,Discount Stores
556,SBGI,Sinclair Inc Ordinary Shares - Class A,14.27,14,-1.9,,None,,Communication Services,Broadcasting
557,EVR,Evercore Inc Class A,331.92,325,-2.1,,Narrow,,Financial Services,Capital Markets
558,CVX,Chevron Corp,196.12,192,-2.1,,Narrow,,Energy,Oil & Gas Integrated
559,CL,Colgate-Palmolive Co,89.92,88,-2.1,,Wide,,Consumer Defensive,Household & Personal Products
560,NSC,Norfolk Southern Corp,320.08,313,-2.2,,Wide,,Industrials,Railroads
561,AEE,Ameren Corp,107.38,105,-2.2,3,Narrow,,Utilities,Utilities - Regulated Electric
